	price	voyageurs	nb_chambres	nb_lits	nb_sdb	Jacuzzi	Barbecue	Lit_pour_bébé	Extincteur	Ustensiles_de_barbecue	Jardin_privé(e),_Clôture_intégrale	Piscine	Salle_de_sport
403	171	2.0	1	1.0	1	0	0	0	1	0	0	0	0
404	180	4.0	1	1.0	1	0	0	0	0	0	0	0	0
405	170	4.0	0	2.0	1	0	0	0	0	0	0	0	0
406	175	3.0	1	2.0	1	0	0	0	1	0	0	0	0
407	155	4.0	2	3.0	1	0	0	0	0	0	0	0	0
408	180	4.0	2	2.0	1	0	0	1	1	0	0	0	0
409	155	4.0	2	3.0	1	0	0	0	0	0	0	0	0
410	160	2.0	2	1.0	1	0	0	1	0	0	0	0	0
411	153	4.0	2	2.0	1	0	0	1	0	0	0	0	0
412	141	4.0	2	3.0	1	0	0	0	1	0	0	0	0
413	180	4.0	1	1.0	1	0	0	0	0	0	0	0	0
414	171	2.0	1	1.0	1	0	0	0	1	0	0	0	0
415	208	3.0	1	2.0	1	0	0	0	0	0	0	0	0
416	175	3.0	1	2.0	1	0	0	0	1	0	0	0	0
417	198	4.0	1	2.0	1	0	0	0	0	0	0	0	0
418	180	2.0	1	1.0	1	0	0	1	0	0	1	0	0
419	190	4.0	2	3.0	1	0	0	0	0	0	0	0	0
